gene_id	gene_id_clean	gene_name	chrom	start	end	strand	gene_type	chromosome_clean	is_chrX	overlaps_chrX_PAR	within_chrX_PAR	PAR_status	literature_gene_id_clean	literature_symbol	literature_escape_category	literature_escape_class	Andergassen_Status	Berletch_Status	Borensztein_Status	Calabrese_Status	Cheng_Status	Finn_Status	Gendrel_Status	Janiszewski_Status	Li_Status	Lopes_Status	Marks_Status	Reinius2010_Status	Reinius2016_Status	Splinter_Status	Wu_Status	Yang_Status	Yue_Status	Yang2022_Status	Bowness_Status	escape_match_method	preferred_escape_class	atlas_gene_group	atlas_gene_group_display
ENSMUSG00000023279	ENSMUSG00000023279	Bmp15	chrX	6226161	6232775	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000023279	Bmp15	facultative	nonPAR_variable_escape		E									S									ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000068270	ENSMUSG00000068270	Shroom4	chrX	6311908	6549502	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000068270	Shroom4	facultative	nonPAR_variable_escape	E			S				S			S		S			E		S	S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000062393	ENSMUSG00000062393	Dgkk	chrX	6690410	6814602	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000062393	Dgkk	silenced	nonPAR_subject				S	S						S							S	S	ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000051592	ENSMUSG00000051592	Ccnb3	chrX	6845891	6907858	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000051592	Ccnb3	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000050089	ENSMUSG00000050089	Akap4	chrX	6933758	6944848	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000050089	Akap4	silenced	nonPAR_subject											S									ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000004317	ENSMUSG00000004317	Clcn5	chrX	7020049	7185597	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000004317	Clcn5	facultative	nonPAR_variable_escape				S	E			S			S		S		S	S		S	S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000046269	ENSMUSG00000046269	Usp27x	chrX	7237513	7242069	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000046269	Usp27x	silenced	nonPAR_subject											S		S			S		S		ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000087252	ENSMUSG00000087252	Gm14379	chrX	7242164	7244281	+	lncRNA	X	True	False	False	nonPAR	ENSMUSG00000087252	Gm14379	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000063018	ENSMUSG00000063018	2010204K13Rik	chrX	7278056	7311382	-	lncRNA	X	True	False	False	nonPAR	ENSMUSG00000063018	2010204K13Rik	silenced	nonPAR_subject																		S	S	ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000039556	ENSMUSG00000039556	Ppp1r3f	chrX	7423535	7440522	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000039556	Ppp1r3f	silenced	nonPAR_subject													S			S			S	ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000039545	ENSMUSG00000039545	Flicr	chrX	7439839	7447266	+	lncRNA	X	True	False	False	nonPAR	ENSMUSG00000039545	Ppp1r3fos	silenced	nonPAR_subject													S			S		S		ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000039521	ENSMUSG00000039521	Foxp3	chrX	7439883	7461484	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000039521	Foxp3	silenced	nonPAR_subject											S					S				ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000031143	ENSMUSG00000031143	Ccdc22	chrX	7460048	7471756	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031143	Ccdc22	silenced	nonPAR_subject				S				S			S					S			S	ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000031142	ENSMUSG00000031142	Cacna1f	chrX	7473322	7501435	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031142	Cacna1f	silenced	nonPAR_subject											S									ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000031144	ENSMUSG00000031144	Syp	chrX	7504710	7519495	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031144	Syp	facultative	nonPAR_variable_escape		E			S				E		S		S		S	S				ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000087644	ENSMUSG00000087644	Gm14703	chrX	7517345	7523497	-	lncRNA	X	True	False	False	nonPAR	ENSMUSG00000087644	Gm14703	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000031145	ENSMUSG00000031145	Prickle3	chrX	7523499	7534425	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031145	Prickle3	silenced	nonPAR_subject				S				S			S		S		S	S		S	S	ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000031146	ENSMUSG00000031146	Plp2	chrX	7534180	7537629	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031146	Plp2	facultative	nonPAR_variable_escape	E		S					S			S		S			S		S	S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000031147	ENSMUSG00000031147	Magix	chrX	7539403	7547490	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031147	Magix	silenced	nonPAR_subject											S									ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000031148	ENSMUSG00000031148	Gpkow	chrX	7563370	7576501	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031148	Gpkow	facultative	nonPAR_variable_escape			S	S	S			S			E		E		S	S		S	E	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000039382	ENSMUSG00000039382	Wdr45	chrX	7580572	7594445	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000039382	Wdr45	facultative	nonPAR_variable_escape			S	S	E			S			E		S		S	S		S	S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000031149	ENSMUSG00000031149	Praf2	chrX	7594678	7597303	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031149	Praf2	facultative	nonPAR_variable_escape			S	S	E						S		S			S		S	S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000031150	ENSMUSG00000031150	Ccdc120	chrX	7597953	7617144	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031150	Ccdc120	silenced	nonPAR_subject				S							S		S			S		S	S	ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000000134	ENSMUSG00000000134	Tfe3	chrX	7628799	7641441	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000000134	Tfe3	facultative	nonPAR_variable_escape			S	S	E			S			E		S		S	S		S	S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000031153	ENSMUSG00000031153	Gripap1	chrX	7656004	7686806	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031153	Gripap1	facultative	nonPAR_variable_escape				S	E	E	E	S			E		S		S	S		S	S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000009731	ENSMUSG00000009731	Kcnd1	chrX	7688528	7704519	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000009731	Kcnd1	silenced	nonPAR_subject				S				S			S		S			S			S	ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000031154	ENSMUSG00000031154	Otud5	chrX	7707603	7742865	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031154	Otud5	facultative	nonPAR_variable_escape			S	S			E	S					S		S	S		S	E	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000031155	ENSMUSG00000031155	Pim2	chrX	7744501	7749671	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031155	Pim2	silenced	nonPAR_subject			S	S				S			S		S			S			S	ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000031156	ENSMUSG00000031156	Slc35a2	chrX	7750267	7760731	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031156	Slc35a2	facultative	nonPAR_variable_escape				S	E		E				E		S			S			S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000031157	ENSMUSG00000031157	Pqbp1	chrX	7760758	7765508	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031157	Pqbp1	facultative	nonPAR_variable_escape			S	S	E		E	S			S		S		S	S		S	S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000031158	ENSMUSG00000031158	Timm17b	chrX	7765596	7776168	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031158	Timm17b	facultative	nonPAR_variable_escape	E		S	S	E		E	S			S		S		S	S		S	S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000039278	ENSMUSG00000039278	Pcsk1n	chrX	7786061	7790649	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000039278	Pcsk1n	silenced	nonPAR_subject				S							S		S		S					ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000031160	ENSMUSG00000031160	Eras	chrX	7790515	7794846	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031160	Eras	silenced	nonPAR_subject				S							S									ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000031161	ENSMUSG00000031161	Hdac6	chrX	7796359	7814128	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031161	Hdac6	facultative	nonPAR_variable_escape			S	S	S			S			E		S		S	S		S	S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000031162	ENSMUSG00000031162	Gata1	chrX	7825499	7844310	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031162	Gata1	silenced	nonPAR_subject				S							S		S							ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000031163	ENSMUSG00000031163	Glod5	chrX	7870439	7884731	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031163	Glod5	silenced	nonPAR_subject											S					S				ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000087193	ENSMUSG00000087193	Gm14820	chrX	7909182	7941112	+	lncRNA	X	True	False	False	nonPAR	ENSMUSG00000087193	Gm14820	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000039231	ENSMUSG00000039231	Suv39h1	chrX	7927410	7940999	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000039231	Suv39h1	facultative	nonPAR_variable_escape				S	E			S			S		S	E		S		S	S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000031165	ENSMUSG00000031165	Was	chrX	7947692	7956737	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031165	Was	silenced	nonPAR_subject													S			S				ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000086404	ENSMUSG00000086404	Gm6787	chrX	7963326	7972940	+	lncRNA	X	True	False	False	nonPAR	ENSMUSG00000086404	Gm6787	facultative	nonPAR_variable_escape							E				S		S							ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000031166	ENSMUSG00000031166	Wdr13	chrX	7989540	7999131	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031166	Wdr13	facultative	nonPAR_variable_escape			E	S	E			S			E		S		S	S		S	S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000031167	ENSMUSG00000031167	Rbm3	chrX	8005214	8012119	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031167	Rbm3	facultative	nonPAR_variable_escape			S			E	E	S	E		E		S		S	S		S	S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000055188	ENSMUSG00000055188	Rbm3os	chrX	8011668	8014203	+	lncRNA	X	True	False	False	nonPAR	ENSMUSG00000055188	Rbm3os	facultative	nonPAR_variable_escape							E	S			E					S				ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000039201	ENSMUSG00000039201	Tbc1d25	chrX	8020711	8042420	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000039201	Tbc1d25	facultative	nonPAR_variable_escape				S	E			S			S		S			S			S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000031168	ENSMUSG00000031168	Ebp	chrX	8051568	8059751	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031168	Ebp	facultative	nonPAR_variable_escape			S		E			S			E		S			S		S	S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000031169	ENSMUSG00000031169	Porcn	chrX	8060087	8072764	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031169	Porcn	facultative	nonPAR_variable_escape	E								E		S		S		S	S			S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000031171	ENSMUSG00000031171	Ftsj1	chrX	8104907	8118645	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031171	Ftsj1	facultative	nonPAR_variable_escape	E		E	S	E			S			E		S		S	S		S	S	ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000120775	ENSMUSG00000120775	Gm56683	chrX	8119009	8119774	+	lncRNA	X	True	False	False	nonPAR																									nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000031170	ENSMUSG00000031170	Slc38a5	chrX	8137372	8146418	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031170	Slc38a5	facultative	nonPAR_variable_escape						E					S		S							ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000068219	ENSMUSG00000068219	Ssxb10	chrX	8193663	8202476	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000068219	Ssxb10	silenced	nonPAR_subject											S									ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000068218	ENSMUSG00000068218	Ssxb9	chrX	8233217	8241629	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000068218	Ssxb9	silenced	nonPAR_subject											S									ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000079705	ENSMUSG00000079705	Ssxb1	chrX	8279544	8288396	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000079705	Ssxb1	silenced	nonPAR_subject											S									ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000023165	ENSMUSG00000023165	Ssxb2	chrX	8320584	8327965	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000023165	Ssxb2	silenced	nonPAR_subject											S									ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000079704	ENSMUSG00000079704	Gm14459	chrX	8380291	8391193	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000079704	Gm14459	silenced	nonPAR_subject											S									ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000079702	ENSMUSG00000079702	Ssxb6	chrX	8408847	8414494	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000079702	Ssxb6	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000079701	ENSMUSG00000079701	Ssxb3	chrX	8449643	8458055	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000079701	Ssxb3	facultative	nonPAR_variable_escape				E							S									ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000079703	ENSMUSG00000079703	Ssxb8	chrX	8551126	8557083	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000079703	Ssxb8	silenced	nonPAR_subject											S									ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000035371	ENSMUSG00000035371	Ssx9	chrX	8614671	8620826	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000035371	Ssx9	silenced	nonPAR_subject											S									ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000071816	ENSMUSG00000071816	Ssxb5	chrX	8669930	8675625	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000071816	Ssxb5	silenced	nonPAR_subject											S									ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000079699	ENSMUSG00000079699	Gm6592	chrX	8710233	8715846	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000079699	Gm6592	silenced	nonPAR_subject											S									ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000079697	ENSMUSG00000079697	Gm5751	chrX	8736751	8747570	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000079697	Gm5751	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000052364	ENSMUSG00000052364	B630019K06Rik	chrX	8758621	8761203	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000052364	B630019K06Rik	silenced	nonPAR_subject											S		S		S	S		S		ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000078208	ENSMUSG00000078208	Fthl17b	chrX	8828373	8829214	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000078208	Gm5634	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000060685	ENSMUSG00000060685	Fthl17c	chrX	8841949	8842798	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000060685	Gm14511	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000078206	ENSMUSG00000078206	Fthl17d	chrX	8852139	8852994	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000078206	Gm14458	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000071815	ENSMUSG00000071815	Fthl17e	chrX	8899732	8900572	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000071815	Fthl17	silenced	nonPAR_subject											S									ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000072249	ENSMUSG00000072249	Fthl17f	chrX	8929254	8930100	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000072249	Gm5635	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000045797	ENSMUSG00000045797	4930402K13Rik	chrX	8970801	8972581	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000045797	4930402K13Rik	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000047344	ENSMUSG00000047344	Lancl3	chrX	9066141	9134324	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000047344	Lancl3	silenced	nonPAR_subject								S			S		S		S			S	S	ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000079694	ENSMUSG00000079694	Gm14862	chrX	9117167	9123138	-	lncRNA	X	True	False	False	nonPAR	ENSMUSG00000079694	Gm14862	silenced	nonPAR_subject													S							ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000015342	ENSMUSG00000015342	Xk	chrX	9138995	9179489	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000015342	Xk	silenced	nonPAR_subject				S							S		S		S	S		S	S	ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000100200	ENSMUSG00000100200	H2al1m	chrX	9150003	9150537	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000100200	1700012L04Rik	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000100448	ENSMUSG00000100448	H2al1k	chrX	9216866	9217375	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000100448	Gm14501	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000015340	ENSMUSG00000015340	Cybb	chrX	9301491	9354010	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000015340	Cybb	facultative	nonPAR_variable_escape		E									S		S					S		ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000061065	ENSMUSG00000061065	H2al1o	chrX	9438140	9438648	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000061065	Gm5382	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000031176	ENSMUSG00000031176	Dynlt3	chrX	9520506	9529242	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000031176	Dynlt3	silenced	nonPAR_subject				S							S		S			S		S	S	ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000040456	ENSMUSG00000040456	H2ap	chrX	9713167	9713747	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000040456	Hypm	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000048994	ENSMUSG00000048994	H2al3	chrX	9715942	9716494	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000048994	4930557A04Rik	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000054453	ENSMUSG00000054453	Sytl5	chrX	9751861	9860782	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000054453	Sytl5	silenced	nonPAR_subject											S		S					S	S	ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
