gene_name	gene_id_clean	chromosome_clean	is_chrX	PAR_status	preferred_escape_class	atlas_gene_group	atlas_gene_group_display	chrom	start	end	strand	ensembl_gene_id	gene_symbol	biotype	par_source_gene_name	category	xci_status	PAR_region
OTUD5	ENSG00000068308	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	48922024	48958386	-	ENSG00000068308	OTUD5	protein_coding	OTUD5	Inactive	Inactive	nonPAR
TFE3	ENSG00000068323	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	49028726	49043410	-	ENSG00000068323	TFE3	protein_coding	TFE3	Inactive	Inactive	nonPAR
TBC1D25	ENSG00000068354	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	48539714	48562609	+	ENSG00000068354	TBC1D25	protein_coding	TBC1D25	Inactive	Inactive	nonPAR
ACSL4	ENSG00000068366	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	109624244	109733403	-	ENSG00000068366	ACSL4	protein_coding	ACSL4	Inactive	Inactive	nonPAR
GPKOW	ENSG00000068394	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	49113407	49123735	-	ENSG00000068394	GPKOW	protein_coding	GPKOW	Inactive	Inactive	nonPAR
GRIPAP1	ENSG00000068400	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	48973720	49002265	-	ENSG00000068400	GRIPAP1	protein_coding	GRIPAP1	Inactive	Inactive	nonPAR
FTSJ1	ENSG00000068438	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	48476021	48486364	+	ENSG00000068438	FTSJ1	protein_coding	FTSJ1	Inactive	Inactive	nonPAR
PAGE1	ENSG00000068985	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	49687447	49695984	-	ENSG00000068985	PAGE1	protein_coding	PAGE1	Unknown	Unknown	nonPAR
FUNDC1	ENSG00000069509	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	44523639	44542859	-	ENSG00000069509	FUNDC1	protein_coding	FUNDC1	Escape	Escape	nonPAR
MAOB	ENSG00000069535	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	43766610	43882450	-	ENSG00000069535	MAOB	protein_coding	MAOB	Inactive	Inactive	nonPAR
ATP6AP1	ENSG00000071553	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	154428633	154436516	+	ENSG00000071553	ATP6AP1	protein_coding	ATP6AP1	Inactive	Inactive	nonPAR
FAM50A	ENSG00000071859	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	154444141	154450654	+	ENSG00000071859	FAM50A	protein_coding	FAM50A	Inactive	Inactive	nonPAR
FAM3A	ENSG00000071889	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	154506159	154516242	-	ENSG00000071889	FAM3A	protein_coding	FAM3A	Inactive	Inactive	nonPAR
RPS6KA6	ENSG00000072133	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	84058346	84206356	-	ENSG00000072133	RPS6KA6	protein_coding	RPS6KA6	Inactive	Inactive	nonPAR
TRPC5	ENSG00000072315	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	111768011	112082776	-	ENSG00000072315	TRPC5	protein_coding	TRPC5	Variable	Variable	nonPAR
SMC1A	ENSG00000072501	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	53374149	53422728	-	ENSG00000072501	SMC1A	protein_coding	SMC1A	Escape	Escape	nonPAR
HSD17B10	ENSG00000072506	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	53431258	53434370	-	ENSG00000072506	HSD17B10	protein_coding	HSD17B10	Inactive	Inactive	nonPAR
CLCN4	ENSG00000073464	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	10156975	10237660	+	ENSG00000073464	CLCN4	protein_coding	CLCN4	Inactive	Inactive	nonPAR
GPC4	ENSG00000076716	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	133300103	133415489	-	ENSG00000076716	GPC4	protein_coding	GPC4	Inactive	Inactive	nonPAR
MBNL3	ENSG00000076770	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	132369320	132489968	-	ENSG00000076770	MBNL3	protein_coding	MBNL3	Inactive	Inactive	nonPAR
PAK3	ENSG00000077264	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	110944285	111227361	+	ENSG00000077264	PAK3	protein_coding	PAK3	Inactive	Inactive	nonPAR
CAPN6	ENSG00000077274	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	111245099	111270483	-	ENSG00000077274	CAPN6	protein_coding	CAPN6	Inactive	Inactive	nonPAR
DCX	ENSG00000077279	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	111293779	111412429	-	ENSG00000077279	DCX	protein_coding	DCX	Inactive	Inactive	nonPAR
SLC25A43	ENSG00000077713	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	119399336	119454478	+	ENSG00000077713	SLC25A43	protein_coding	SLC25A43	Inactive	Inactive	nonPAR
UBE2A	ENSG00000077721	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	119474802	119591083	+	ENSG00000077721	UBE2A	protein_coding	UBE2A	Inactive	Inactive	nonPAR
ARAF	ENSG00000078061	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	47561205	47571908	+	ENSG00000078061	ARAF	protein_coding	ARAF	Inactive	Inactive	nonPAR
P2RY10	ENSG00000078589	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	78945332	78963727	+	ENSG00000078589	P2RY10	protein_coding	P2RY10	Variable	Variable	nonPAR
ITM2A	ENSG00000078596	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	79360384	79367667	-	ENSG00000078596	ITM2A	protein_coding	ITM2A	Inactive	Inactive	nonPAR
OPHN1	ENSG00000079482	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	67949349	68433913	-	ENSG00000079482	OPHN1	protein_coding	OPHN1	Inactive	Inactive	nonPAR
MID2	ENSG00000080561	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	107825755	107931637	+	ENSG00000080561	MID2	protein_coding	MID2	Variable	Variable	nonPAR
DNAAF6	ENSG00000080572	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	107206611	107244247	+	ENSG00000080572	DNAAF6	protein_coding	PIH1D3	Escape	Escape	nonPAR
DLG3	ENSG00000082458	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	70444835	70505490	+	ENSG00000082458	DLG3	protein_coding	DLG3	Inactive	Inactive	nonPAR
RRAGB	ENSG00000083750	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	55717749	55758774	+	ENSG00000083750	RRAGB	protein_coding	RRAGB	Inactive	Inactive	nonPAR
BCORL1	ENSG00000085185	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	129981107	130058071	+	ENSG00000085185	BCORL1	protein_coding	BCORL1	Inactive	Inactive	nonPAR
ATRX	ENSG00000085224	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	77504880	77786233	-	ENSG00000085224	ATRX	protein_coding	ATRX	Inactive	Inactive	nonPAR
TXLNG	ENSG00000086712	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	16786432	16844519	+	ENSG00000086712	TXLNG	protein_coding	TXLNG	Escape	Escape	nonPAR
PPEF1	ENSG00000086717	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	18675909	18827921	+	ENSG00000086717	PPEF1	protein_coding	PPEF1	Variable	Variable	nonPAR
HUWE1	ENSG00000086758	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	53532096	53686752	-	ENSG00000086758	HUWE1	protein_coding	HUWE1	Inactive	Inactive	nonPAR
PIR	ENSG00000087842	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	15384799	15493564	-	ENSG00000087842	PIR	protein_coding	PIR	Variable	Variable	nonPAR
IGBP1	ENSG00000089289	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	70133447	70166324	+	ENSG00000089289	IGBP1	protein_coding	IGBP1	Inactive	Inactive	nonPAR
HEPH	ENSG00000089472	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	66162671	66268867	+	ENSG00000089472	HEPH	protein_coding	HEPH	Inactive	Inactive	nonPAR
RBM41	ENSG00000089682	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	107061885	107118823	-	ENSG00000089682	RBM41	protein_coding	RBM41	Inactive	Inactive	nonPAR
ARHGAP4	ENSG00000089820	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	153907367	153934999	-	ENSG00000089820	ARHGAP4	protein_coding	ARHGAP4	Variable	Variable	nonPAR
EFNB1	ENSG00000090776	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	68829021	68842160	+	ENSG00000090776	EFNB1	protein_coding	EFNB1	Inactive	Inactive	nonPAR
KIF4A	ENSG00000090889	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	70290104	70420886	+	ENSG00000090889	KIF4A	protein_coding	KIF4A	Inactive	Inactive	nonPAR
SMPX	ENSG00000091482	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	21705978	21758116	-	ENSG00000091482	SMPX	protein_coding	SMPX	Inactive	Inactive	nonPAR
HDAC6	ENSG00000094631	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	48801377	48824982	+	ENSG00000094631	HDAC6	protein_coding	HDAC6	Inactive	Inactive	nonPAR
UPRT	ENSG00000094841	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	75156388	75304885	+	ENSG00000094841	UPRT	protein_coding	UPRT	Inactive	Inactive	nonPAR
MAGEB2	ENSG00000099399	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	30215563	30220089	+	ENSG00000099399	MAGEB2	protein_coding	MAGEB2	Unknown	Unknown	nonPAR
CSTF2	ENSG00000101811	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	100820391	100841520	+	ENSG00000101811	CSTF2	protein_coding	CSTF2	Inactive	Inactive	nonPAR
H2BW2	ENSG00000101812	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	104039956	104042454	+	ENSG00000101812	H2BW2	protein_coding	H2BFM	Unknown	Unknown	nonPAR
MXRA5	ENSG00000101825	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	3308565	3346652	-	ENSG00000101825	MXRA5	protein_coding	MXRA5	Escape	Escape	nonPAR
VSIG1	ENSG00000101842	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	108044970	108079184	+	ENSG00000101842	VSIG1	protein_coding	VSIG1	Unknown	Unknown	nonPAR
PSMD10	ENSG00000101843	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	108084207	108091549	-	ENSG00000101843	PSMD10	protein_coding	PSMD10	Inactive	Inactive	nonPAR
ATG4A	ENSG00000101844	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	108091668	108154671	+	ENSG00000101844	ATG4A	protein_coding	ATG4A	Inactive	Inactive	nonPAR
STS	ENSG00000101846	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	7147237	7804358	+	ENSG00000101846	STS	protein_coding	STS	Escape	Escape	nonPAR
TBL1X	ENSG00000101849	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	9463320	9741037	+	ENSG00000101849	TBL1X	protein_coding	TBL1X	Variable	Variable	nonPAR
GPR143	ENSG00000101850	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	9725346	9786297	-	ENSG00000101850	GPR143	protein_coding	GPR143	Variable	Variable	nonPAR
PGRMC1	ENSG00000101856	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	119236245	119244466	+	ENSG00000101856	PGRMC1	protein_coding	PGRMC1	Inactive	Inactive	nonPAR
POLA1	ENSG00000101868	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	24693873	24996986	+	ENSG00000101868	POLA1	protein_coding	POLA1	Inactive	Inactive	nonPAR
MID1	ENSG00000101871	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	10445310	10833654	-	ENSG00000101871	MID1	protein_coding	MID1	Inactive	Inactive	nonPAR
NKAP	ENSG00000101882	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	119920672	119943751	-	ENSG00000101882	NKAP	protein_coding	NKAP	Inactive	Inactive	nonPAR
RHOXF1	ENSG00000101883	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	120109051	120245267	-	ENSG00000101883	RHOXF1	protein_coding	RHOXF1	Unknown	Unknown	nonPAR
NXT2	ENSG00000101888	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	109535781	109544698	+	ENSG00000101888	NXT2	protein_coding	NXT2	Inactive	Inactive	nonPAR
GUCY2F	ENSG00000101890	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	109372906	109482086	-	ENSG00000101890	GUCY2F	protein_coding	GUCY2F	Variable	Variable	nonPAR
ATP1B4	ENSG00000101892	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	120362085	120383249	+	ENSG00000101892	ATP1B4	protein_coding	ATP1B4	Inactive	Inactive	nonPAR
ALG13	ENSG00000101901	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	111665811	111760649	+	ENSG00000101901	ALG13	protein_coding	ALG13	Variable	Variable	nonPAR
PRPS2	ENSG00000101911	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	12791355	12824222	+	ENSG00000101911	PRPS2	protein_coding	PRPS2	Inactive	Inactive	nonPAR
TLR8	ENSG00000101916	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	12906620	12923169	+	ENSG00000101916	TLR8	protein_coding	TLR8	Unknown	Unknown	nonPAR
MOSPD1	ENSG00000101928	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	134887632	134915257	-	ENSG00000101928	MOSPD1	protein_coding	MOSPD1	Inactive	Inactive	nonPAR
AMMECR1	ENSG00000101935	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	110194186	110440318	-	ENSG00000101935	AMMECR1	protein_coding	AMMECR1	Inactive	Inactive	nonPAR
CHRDL1	ENSG00000101938	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	110673856	110795819	-	ENSG00000101938	CHRDL1	protein_coding	CHRDL1	Inactive	Inactive	nonPAR
WDR13	ENSG00000101940	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	48590042	48608869	+	ENSG00000101940	WDR13	protein_coding	WDR13	Inactive	Inactive	nonPAR
SUV39H1	ENSG00000101945	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	48695554	48709016	+	ENSG00000101945	SUV39H1	protein_coding	SUV39H1	Inactive	Inactive	nonPAR
